id,name,short_name,category,location,region,country,status
ug,University of Ghana,UG,Public University,Legon,Greater Accra,Ghana,active
knust,Kwame Nkrumah University of Science and Technology,KNUST,Public University,Kumasi,Ashanti,Ghana,active
ucc,University of Cape Coast,UCC,Public University,Cape Coast,Central,Ghana,active
uew,"University of Education, Winneba",UEW,Public University,Winneba,Central,Ghana,active
uds,University for Development Studies,UDS,Public University,Tamale,Northern,Ghana,active
upsa,"University of Professional Studies, Accra",UPSA,Public University,Accra,Greater Accra,Ghana,active
uhas,University of Health and Allied Sciences,UHAS,Public University,Ho,Volta,Ghana,active
uenr,University of Energy and Natural Resources,UENR,Public University,Sunyani,Bono,Ghana,active
sdd_ubids,Simon Diedong Dombo University of Business and Integrated Development Studies,SDD-UBIDS,Public University,Wa,Upper West,Ghana,active
ckt_utas,C.K. Tedam University of Technology and Applied Sciences,CKT-UTAS,Public University,Navrongo,Upper East,Ghana,active
aamusted,Akenten Appiah-Menka University of Skills Training and Entrepreneurial Development,AAMUSTED,Public University,Kumasi,Ashanti,Ghana,active
gctu,Ghana Communication Technology University,GCTU,Public University,Accra,Greater Accra,Ghana,active
unimac,"University of Media, Arts and Communication",UniMAC,Public University,Accra,Greater Accra,Ghana,active
atu,Accra Technical University,ATU,Technical University,Accra,Greater Accra,Ghana,active
kstu,Kumasi Technical University,KsTU,Technical University,Kumasi,Ashanti,Ghana,active
ttu,Takoradi Technical University,TTU,Technical University,Takoradi,Western,Ghana,active
ktu,Koforidua Technical University,KTU,Technical University,Koforidua,Eastern,Ghana,active
htu,Ho Technical University,HTU,Technical University,Ho,Volta,Ghana,active
tatu,Tamale Technical University,TaTU,Technical University,Tamale,Northern,Ghana,active
cctu,Cape Coast Technical University,CCTU,Technical University,Cape Coast,Central,Ghana,active
stu,Sunyani Technical University,STU,Technical University,Sunyani,Bono,Ghana,active
btu,Bolgatanga Technical University,BTU,Technical University,Bolgatanga,Upper East,Ghana,active
dhltu,Dr. Hilla Limann Technical University,DHLTU,Technical University,Wa,Upper West,Ghana,active
ashesi,Ashesi University,Ashesi,Chartered Private University,Berekuso,Eastern,Ghana,active
academic_city,Academic City University,Academic City,Chartered Private University,Accra,Greater Accra,Ghana,active
central,Central University,Central,Chartered Private University,Miotso,Greater Accra,Ghana,active
vvu,Valley View University,VVU,Chartered Private University,Oyibi,Greater Accra,Ghana,active
pu,Pentecost University,PU,Chartered Private University,Sowutuom,Greater Accra,Ghana,active
regent,Regent University College of Science and Technology,Regent,Private Tertiary Institution,Accra,Greater Accra,Ghana,active
anu,All Nations University,ANU,Chartered Private University,Koforidua,Eastern,Ghana,active
mug,Methodist University Ghana,MUG,Chartered Private University,Accra,Greater Accra,Ghana,active
cug,Catholic University of Ghana,CUG,Chartered Private University,Fiapre,Bono,Ghana,active
gcu,Garden City University,GCU,Chartered Private University,Kumasi,Ashanti,Ghana,active
kaaf,KAAF University,KAAF,Chartered Private University,Fetteh Kakraba,Central,Ghana,active
fhu,Family Health University,FHU,Chartered Private University,Teshie,Greater Accra,Ghana,active
hcu,Heritage Christian University,HCU,Chartered Private University,Amasaman,Greater Accra,Ghana,active
